"sex","age_group","race_ethnicity_combined","log_odds","odds","probability"
"Male","80+ Years","American Indian/Alaska Native, Non-Hispanic",0.417839640816027,1.5186771210509,0.602966179490781
"Male","80+ Years","Hispanic/Latino",0.373556351622083,1.45289243408207,0.592318038041394
"Male","80+ Years","Black, Non-Hispanic",0.347230132782661,1.41514235854839,0.585945732573278
"Male","80+ Years","Asian, Non-Hispanic",0.0549503991334822,1.05648821064515,0.513734144050217
"Male","80+ Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-0.0706024482405346,0.931832270059003,0.482356716212502
"Female","80+ Years","American Indian/Alaska Native, Non-Hispanic",-0.0850653570920681,0.918452255071213,0.478746475260663
"Female","80+ Years","Hispanic/Latino",-0.129348646286012,0.87866756795229,0.46770784940415
"Female","80+ Years","Black, Non-Hispanic",-0.155674865125434,0.855837407727695,0.461159692203635
"Male","80+ Years","White, Non-Hispanic",-0.303935671851517,0.737908333200676,0.424595658530322
"Female","80+ Years","Asian, Non-Hispanic",-0.447954598774613,0.638933691745965,0.389847188427315
"Male","80+ Years","Multiple/Other, Non-Hispanic",-0.530810762179079,0.588127944433666,0.370327810485946
"Female","80+ Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-0.573507446148629,0.563545363211627,0.360427894496177
"Female","80+ Years","White, Non-Hispanic",-0.806840669759612,0.446265742250083,0.308564138120141
"Male","70 - 79 Years","American Indian/Alaska Native, Non-Hispanic",-0.810893311574446,0.444460846810163,0.307700169091932
"Male","70 - 79 Years","Hispanic/Latino",-0.85517660076839,0.425208092375385,0.298348076081082
"Male","70 - 79 Years","Black, Non-Hispanic",-0.881502819607812,0.414160035941088,0.292866454584452
"Female","80+ Years","Multiple/Other, Non-Hispanic",-1.03371576008717,0.355682869879352,0.262364361003548
"Male","70 - 79 Years","Asian, Non-Hispanic",-1.17378255325699,0.309195179304053,0.236171950670041
"Male","70 - 79 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-1.29933540063101,0.272712977692629,0.214276889190716
"Female","70 - 79 Years","American Indian/Alaska Native, Non-Hispanic",-1.31379830948254,0.268797140211855,0.211851943618798
"Female","70 - 79 Years","Hispanic/Latino",-1.35808159867648,0.257153627919579,0.204552269673782
"Female","70 - 79 Years","Black, Non-Hispanic",-1.38440781751591,0.250472081061736,0.200302017817998
"Male","70 - 79 Years","White, Non-Hispanic",-1.53266862424199,0.215958585334911,0.177603569677029
"Female","70 - 79 Years","Asian, Non-Hispanic",-1.67668755116509,0.186992353906303,0.1575345900847
"Male","70 - 79 Years","Multiple/Other, Non-Hispanic",-1.75954371456955,0.172123383300081,0.146847495538799
"Female","70 - 79 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-1.8022403985391,0.164928967373695,0.141578561434113
"Male","60 - 69 Years","American Indian/Alaska Native, Non-Hispanic",-1.92575082151262,0.145766271307006,0.127221646296785
"Male","60 - 69 Years","Hispanic/Latino",-1.97003411070656,0.139452099324281,0.122385223044461
"Male","60 - 69 Years","Black, Non-Hispanic",-1.99636032954598,0.135828756563778,0.11958559402449
"Female","70 - 79 Years","White, Non-Hispanic",-2.03557362215008,0.130605542780275,0.115518222614673
"Female","70 - 79 Years","Multiple/Other, Non-Hispanic",-2.26244871247765,0.104095273018304,0.0942810603053623
"Male","60 - 69 Years","Asian, Non-Hispanic",-2.28864006319516,0.101404271527439,0.0920681662027787
"Male","60 - 69 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-2.41419291056918,0.0894394954709347,0.0820967991731128
"Female","60 - 69 Years","American Indian/Alaska Native, Non-Hispanic",-2.42865581942071,0.0881552495520573,0.081013485519044
"Female","60 - 69 Years","Hispanic/Latino",-2.47293910861466,0.0843366198933526,0.0777771573385092
"Female","60 - 69 Years","Black, Non-Hispanic",-2.49926532745408,0.0821453263766781,0.075909699348537
"Male","60 - 69 Years","White, Non-Hispanic",-2.64752613418016,0.070826211053077,0.0661416486839865
"Female","60 - 69 Years","Asian, Non-Hispanic",-2.79154506110326,0.0613263876615073,0.0577827785820269
"Male","60 - 69 Years","Multiple/Other, Non-Hispanic",-2.87440122450772,0.0564499302209981,0.0534336068432409
"Female","60 - 69 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-2.91709790847727,0.0540904351353286,0.0513147955169371
"Male","50 - 59 Years","American Indian/Alaska Native, Non-Hispanic",-3.10556605610235,0.0447991525469718,0.0428782435722331
"Male","50 - 59 Years","Hispanic/Latino",-3.1498493452963,0.0428585832278448,0.0410972148258006
"Female","60 - 69 Years","White, Non-Hispanic",-3.15043113208826,0.0428336559220924,0.0410742937561006
"Male","50 - 59 Years","Black, Non-Hispanic",-3.17617556413572,0.0417450013024631,0.0400721877717393
"Female","60 - 69 Years","Multiple/Other, Non-Hispanic",-3.37730622241582,0.0341392946475754,0.0330122787367922
"Male","50 - 59 Years","Asian, Non-Hispanic",-3.4684552977849,0.0311651343506233,0.0302232235288382
"Male","50 - 59 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-3.59400814515891,0.0274879336996116,0.0267525610745009
"Female","50 - 59 Years","American Indian/Alaska Native, Non-Hispanic",-3.60847105401045,0.027093239314472,0.0263785587105561
"Female","50 - 59 Years","Hispanic/Latino",-3.65275434320439,0.0259196387890089,0.0252647846956164
"Female","50 - 59 Years","Black, Non-Hispanic",-3.67908056204381,0.0252461764602515,0.0246245019390524
"Male","50 - 59 Years","White, Non-Hispanic",-3.8273413687699,0.021767410285251,0.0213036842496024
"Female","50 - 59 Years","Asian, Non-Hispanic",-3.97136029569299,0.0188477771391724,0.0184991100359419
"Male","50 - 59 Years","Multiple/Other, Non-Hispanic",-4.05421645909746,0.0173490685640859,0.0170532112331639
"Female","50 - 59 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-4.09691314306701,0.0166239119189378,0.0163520764404992
"Male","40 - 49 Years","American Indian/Alaska Native, Non-Hispanic",-4.13287190102453,0.0160367566472822,0.0157836382811586
"Male","40 - 49 Years","Hispanic/Latino",-4.17715519021848,0.0153420908744109,0.0151102677730994
"Male","40 - 49 Years","Black, Non-Hispanic",-4.2034814090579,0.0149434618529035,0.0147234426493299
"Female","50 - 59 Years","White, Non-Hispanic",-4.33024636667799,0.0131643038447268,0.0129932566660425
"Male","40 - 49 Years","Asian, Non-Hispanic",-4.49576114270708,0.0111561859331329,0.0110330986333606
"Female","50 - 59 Years","Multiple/Other, Non-Hispanic",-4.55712145700555,0.0104922178158867,0.010383274240909
